ID_STA,ARROND,NBR_PLA,X,Y,LONG,LAT,JURIDICTIO,EMPLACEMEN,LOCATION,HEURES,HOURS,BOROUGH,NBR_PLA_I,Note_FR,Note_EN
59,Ville-Marie,24,299750,5039750,-73.5646179798347,45.4976633830211,Stationnement de Montréal,Mansfield côté ouest entre Saint-Antoine et Saint-Jacques,Mansfield (West site) between Saint-Antoine and Saint-Jacques,21h à 7h,9 p.m to 7 a.m,Ville-Marie,24,,
60,Rosemont - La Petite-Patrie,45,296053,5044553,-73.6120081102993,45.5408460839439,Stationnement de Montréal,Rue Saint-André entre la rue Jean-Talon et la rue Bélanger,Rue Saint-André  between rue Jean-Talon  and rue Bélanger,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,45,,
16,Outremont,10,297177,5042058,-73.5975763427227,45.5184083437913,Municipale,"Sud du 5123, av. Durocher","South of 5123, av. Durocher",21h à 7h,9 p.m to 7 a.m,Outremont,10,,
18,Outremont,21,297104,5041965,-73.5985092837667,45.5175706912352,Municipale,"Sud du 142, av. Querbes","South of 142, av. Querbes",21h à 7h,9 p.m to 7 a.m,Outremont,21,,
22,Saint-Léonard,47,299175,5049535,-73.572087855837,45.5857079562749,Municipale,Rue Liénart et rue Ladauversière,rue Liénart  and rue Ladauversière,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,30,,
25,Saint-Léonard,18,297620,5047992,-73.5919929840373,45.5718092679863,Municipale,Boul. Provencher entre Buies et Colbert,Boul. Provencher between Buies and Colbert,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,18,,
29,Saint-Léonard,619,297150,5049465,-73.5980377545436,45.5850587527504,Municipale,Entre les rue Des Galets et le boul. Robert,Between rue Des Galets and boul. Robert,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,619,,
32,Saint-Léonard,12,296671,5048794,-73.6041650474123,45.5790154670369,Municipale,Côté sud à l'est du boul. Provencher,"South side, East of boul. Provencher",23h à 7h,11 p.m to 7 a.m,Saint-Léonard,12,,
34,Saint-Léonard,12,297875,5050240,-73.588757626662,45.5920400186553,Municipale,Côté sud entre les boul. Lacordaire et Langelier,South side between boul. Lacordaire and Langelier,23h à 7h,11 p.m to 7 a.m,Saint-Léonard,12,,
41,Villeray - Saint-Michel - Parc-Extension,134,296524,5047244,-73.6060222987484,45.565066360315,Stationnement de Montréal,14e Avenue entre rue Jarry et boul. Crémazie,14e Avenue between rue Jarry and boul. Crémazie,21h à 7h,9 p.m to 7 a.m,Villeray - Saint-Michel - Parc-Extension,134,,
43,Le Sud-Ouest,23,298102,5037468,-73.5856736655494,45.4771150569308,Stationnement de Montréal,Place Saint-Henri entre la rue Saint-Jacques et la rue Notre-Dame,Place Saint-Henri between rue Saint-Jacques and rue Notre-Dame,21h à 7h,9 p.m to 7 a.m,Le Sud-Ouest,23,Section horaire,Hourly spaces
48,Rosemont - La Petite-Patrie,17,298917,5045404,-73.5753444948602,45.5485336676594,Stationnement de Montréal,6e Avenue entre la rue Dandurand et la rue Masson,6e Avenue between rue Dandurand and rue Masson,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,17,Côté sud seulement.  Section horaire,South side only. Hourly spaces
61,Ahunstic-Cartierville,22,292433,5046705,-73.6583902261416,45.5600052888909,Stationnement de Montréal,Rue Fleury près de la rue Chambord,Rue Fleury near rue Chambord,21h à 7h,9 p.m to 7 a.m,Ahunstic-Cartierville,22,Section horaire,Hourly spaces
62,Rosemont - La Petite-Patrie,350,300255,5046869,-73.5582143139226,45.5617175329288,Municipale,"4581, rue Sherbrooke Est (P2)","4581,  rue Sherbrooke (P2)",18h à 7h,6 p.m to 7 a.m,Rosemont - La Petite-Patrie,350,,
